# Title: November 2025 Contiguous U.S. Statewide Average Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 131 Years
ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,Alabama,55.8,99,2.3,53.5
2,Arizona,55.2,128,6,49.2
3,Arkansas,55.4,124,5.6,49.9
4,California,54.2,128,4.7,49.5
5,Colorado,40.8,129,7.3,33.5
6,Connecticut,40.9,71,0.7,40.2
7,Delaware,46.9,82,1.2,45.7
8,Florida,65.4,80,1.1,64.3
9,Georgia,56.9,101,2.7,54.2
10,Idaho,39,131,7.4,31.6
11,Illinois,43.8,102,3,40.8
12,Indiana,42.2,78,1.1,41.1
13,Iowa,39.6,109,3.9,35.7
14,Kansas,47.5,124,5.5,42
15,Kentucky,47.3,94,2,45.3
16,Louisiana,61.9,117,4.5,57.4
17,Maine,33.8,85,1.5,32.3
18,Maryland,46.2,88,1.4,44.8
19,Massachusetts,39.5,66,0.3,39.2
20,Michigan,36.3,87,1.7,34.6
21,Minnesota,33.7,114,5.8,27.9
22,Mississippi,58.2,114,4.3,53.9
23,Missouri,48,116,4.4,43.6
24,Montana,35.8,121,6.3,29.5
25,Nebraska,41.6,122,5.7,35.9
26,Nevada,46.2,131,7.3,38.9
27,New Hampshire,34.8,71,0.7,34.1
28,New Jersey,44.8,87,1.7,43.1
29,New Mexico,48.8,130,6.7,42.1
30,New York,36.2,56,-0.1,36.3
31,North Carolina,51.2,92,1.9,49.3
32,North Dakota,32.6,113,6.2,26.4
33,Ohio,41.4,74,0.6,40.8
34,Oklahoma,54.7,128,6.3,48.4
35,Oregon,43.4,131,5.7,37.7
36,Pennsylvania,39.9,74,0.6,39.3
37,Rhode Island,42.2,74,0.7,41.5
38,South Carolina,55.6,102,2.5,53.1
39,South Dakota,37.3,117,5.6,31.7
40,Tennessee,50.8,111,3.4,47.4
41,Texas,62.1,131,7.5,54.6
42,Utah,44.3,131,8.3,36
43,Vermont,33.7,72,0.5,33.2
44,Virginia,47.4,95,1.9,45.5
45,Washington,41,125,4.4,36.6
46,West Virginia,43.2,83,1.1,42.1
47,Wisconsin,35.1,102,3.5,31.6
48,Wyoming,37.4,129,8.4,29
