# Title: December 2025 Contiguous U.S. Statewide Average Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 131 Years
ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,Alabama,48,84,1.6,46.4
2,Arizona,50.3,131,8.8,41.5
3,Arkansas,44.7,104,3.2,41.5
4,California,49.9,131,6.8,43.1
5,Colorado,35.4,131,10.2,25.2
6,Connecticut,28.6,45,-0.6,29.2
7,Delaware,34.8,39,-1.4,36.2
8,Florida,62.2,106,3.4,58.8
9,Georgia,49.4,91,2.3,47.1
10,Idaho,33.6,130,9.7,23.9
11,Illinois,29.8,56,0.4,29.4
12,Indiana,30.2,54,-0.1,30.3
13,Iowa,23.7,63,1,22.7
14,Kansas,38.2,128,6.7,31.5
15,Kentucky,38.1,85,1.9,36.2
16,Louisiana,53.8,101,2.9,50.9
17,Maine,17.4,44,-1.3,18.7
18,Maryland,34.4,44,-0.9,35.3
19,Massachusetts,27.2,43,-0.9,28.1
20,Michigan,22.7,52,-0.6,23.3
21,Minnesota,13.4,64,0.5,12.9
22,Mississippi,49.4,95,2.6,46.8
23,Missouri,36.4,96,3.4,33
24,Montana,27.8,122,7.2,20.6
25,Nebraska,33.8,130,8.5,25.3
26,Nevada,41.2,131,10,31.2
27,New Hampshire,20.4,42,-1.3,21.7
28,New Jersey,31.9,47,-1.1,33
29,New Mexico,43.8,131,9.5,34.3
30,New York,22.7,37,-1.8,24.5
31,North Carolina,41.8,62,0.3,41.5
32,North Dakota,14.2,72,1.5,12.7
33,Ohio,29.8,46,-0.6,30.4
34,Oklahoma,44.9,127,6,38.9
35,Oregon,39.7,131,7.9,31.8
36,Pennsylvania,27.2,36,-1.7,28.9
37,Rhode Island,30.6,49,-0.4,31
38,South Carolina,47,82,1.4,45.6
39,South Dakota,25.3,107,5.6,19.7
40,Tennessee,41.5,90,2.3,39.2
41,Texas,53.8,129,6.9,46.9
42,Utah,38.4,131,11.4,27
43,Vermont,18.8,42,-1.4,20.2
44,Virginia,36.8,55,0,36.8
45,Washington,37.5,131,6.9,30.6
46,West Virginia,33.9,63,0.8,33.1
47,Wisconsin,17.6,49,-0.5,18.1
48,Wyoming,32.1,131,11.5,20.6
