# Title: April 2025 Contiguous U.S. Statewide Average Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 131 Years
ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,Alabama,66.8,122,4,62.8
2,Arizona,58.6,94,1.9,56.7
3,Arkansas,64.3,119,3.8,60.5
4,California,56.4,102,2.4,54
5,Colorado,44.3,96,1.8,42.5
6,Connecticut,49.4,117,3.4,46
7,Delaware,56.3,122,4.3,52
8,Florida,73.1,125,3.8,69.3
9,Georgia,67.4,127,4.4,63
10,Idaho,42.5,92,1.5,41
11,Illinois,53.9,99,2.4,51.5
12,Indiana,52.9,99,2.3,50.6
13,Iowa,49.9,92,1.8,48.1
14,Kansas,56,100,2.5,53.5
15,Kentucky,58.8,116,3.6,55.2
16,Louisiana,70.7,127,4.4,66.3
17,Maine,40.3,97,2,38.3
18,Maryland,56.7,124,4.6,52.1
19,Massachusetts,48,117,3.3,44.7
20,Michigan,43.1,76,1.2,41.9
21,Minnesota,42.2,80,0.9,41.3
22,Mississippi,68.5,128,4.9,63.6
23,Missouri,57.2,101,2.7,54.5
24,Montana,42.1,87,1.4,40.7
25,Nebraska,49.5,89,1.8,47.7
26,Nevada,49,98,2.4,46.6
27,New Hampshire,43.5,107,2.8,40.7
28,New Jersey,53.3,120,4,49.3
29,New Mexico,53.8,108,2.4,51.4
30,New York,45.1,96,2.3,42.8
31,North Carolina,62.9,130,5.1,57.8
32,North Dakota,42.1,83,0.9,41.2
33,Ohio,52.3,107,3.1,49.2
34,Oklahoma,61.7,103,2.3,59.4
35,Oregon,46.5,110,2.6,43.9
36,Pennsylvania,50.2,112,3.4,46.8
37,Rhode Island,49.9,123,4.2,45.7
38,South Carolina,66.5,129,4.6,61.9
39,South Dakota,45.6,81,0.9,44.7
40,Tennessee,62.1,125,4.5,57.6
41,Texas,68.8,121,4,64.8
42,Utah,47.8,100,2.3,45.5
43,Vermont,42.6,104,2.7,39.9
44,Virginia,59.2,130,5.2,54
45,Washington,47.1,107,2,45.1
46,West Virginia,55,122,4.1,50.9
47,Wisconsin,42.8,62,0.2,42.6
48,Wyoming,40,82,1.2,38.8
