# Title: June 2025 Contiguous U.S. Statewide Average Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 131 Years
ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,Alabama,78.3,89,0.8,77.5
2,Arizona,78.3,116,3.9,74.4
3,Arkansas,78.8,115,2.3,76.5
4,California,72.5,122,4.3,68.3
5,Colorado,64.5,111,3.3,61.2
6,Connecticut,69,126,3.6,65.4
7,Delaware,74.5,126,3.8,70.7
8,Florida,81.8,120,2.3,79.5
9,Georgia,78.8,101,1.4,77.4
10,Idaho,60.5,117,3.8,56.7
11,Illinois,74.2,112,2.8,71.4
12,Indiana,73.3,113,2.8,70.5
13,Iowa,72.1,112,3,69.1
14,Kansas,74.7,87,1.4,73.4
15,Kentucky,75.2,118,2.6,72.6
16,Louisiana,81.2,105,1.4,79.8
17,Maine,61.7,111,1.9,59.8
18,Maryland,74.3,126,3.7,70.6
19,Massachusetts,68,123,3.6,64.4
20,Michigan,66.4,118,3.1,63.3
21,Minnesota,65.2,92,1.5,63.7
22,Mississippi,80.1,105,1.8,78.3
23,Missouri,74.9,98,1.9,73
24,Montana,60.2,99,1.9,58.3
25,Nebraska,70.8,99,2.5,68.3
26,Nevada,68.8,122,4.9,63.9
27,New Hampshire,64.2,118,2.7,61.5
28,New Jersey,71.9,123,3.4,68.5
29,New Mexico,72.4,113,3.2,69.2
30,New York,66.6,122,3.2,63.4
31,North Carolina,76.6,119,3,73.6
32,North Dakota,64.1,84,1.2,62.9
33,Ohio,72.6,126,3.7,68.9
34,Oklahoma,77.9,89,1,76.9
35,Oregon,61.4,124,4.2,57.2
36,Pennsylvania,69.2,124,3.2,66
37,Rhode Island,69.3,130,4.6,64.7
38,South Carolina,79.2,112,2.2,77
39,South Dakota,67.4,87,1.7,65.7
40,Tennessee,76,114,2.2,73.8
41,Texas,81.4,105,1.8,79.6
42,Utah,69.4,125,5.4,64
43,Vermont,64.3,120,3.3,61
44,Virginia,74.4,126,3.5,70.9
45,Washington,61.2,122,3.5,57.7
46,West Virginia,71.5,127,3.4,68.1
47,Wisconsin,66.3,100,2.2,64.1
48,Wyoming,60.9,108,3.3,57.6
