# Title: July 2025 Contiguous U.S. Statewide Average Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 131 Years
ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,Alabama,82.1,121,2.2,79.9
2,Arizona,81.5,108,1.8,79.7
3,Arkansas,82.7,119,2.4,80.3
4,California,75.2,72,0.5,74.7
5,Colorado,69,105,1.9,67.1
6,Connecticut,75.2,129,4.5,70.7
7,Delaware,79.5,124,4,75.5
8,Florida,83.7,128,2.7,81
9,Georgia,82.8,129,3.1,79.7
10,Idaho,67.8,112,2.7,65.1
11,Illinois,78.3,116,2.7,75.6
12,Indiana,77.6,120,3.1,74.5
13,Iowa,74.9,89,1,73.9
14,Kansas,79.5,85,0.6,78.9
15,Kentucky,79.8,126,3.5,76.3
16,Louisiana,83.5,117,1.6,81.9
17,Maine,68.3,119,3,65.3
18,Maryland,79.5,128,4.4,75.1
19,Massachusetts,73.7,123,4,69.7
20,Michigan,70.7,113,2.6,68.1
21,Minnesota,69.8,85,1,68.8
22,Mississippi,83.4,128,2.6,80.8
23,Missouri,79.5,110,1.8,77.7
24,Montana,66.9,81,1.2,65.7
25,Nebraska,74.9,76,0.4,74.5
26,Nevada,73.6,94,1.5,72.1
27,New Hampshire,70.3,124,3.8,66.5
28,New Jersey,78.2,126,4.7,73.5
29,New Mexico,73.8,97,1.1,72.7
30,New York,71.9,128,3.7,68.2
31,North Carolina,80.3,130,3.4,76.9
32,North Dakota,69,58,-0,69
33,Ohio,76.5,122,3.5,73
34,Oklahoma,82.1,78,0.4,81.7
35,Oregon,68.3,116,3.5,64.8
36,Pennsylvania,74.4,128,4,70.4
37,Rhode Island,74.9,128,4.6,70.3
38,South Carolina,83.2,128,3.3,79.9
39,South Dakota,72.8,69,0.2,72.6
40,Tennessee,80.4,125,3.3,77.1
41,Texas,82.2,60,-0.1,82.3
42,Utah,74.1,114,2.6,71.5
43,Vermont,69.5,126,3.6,65.9
44,Virginia,78.6,129,3.9,74.7
45,Washington,67.6,120,3.6,64
46,West Virginia,76.1,131,4.2,71.9
47,Wisconsin,71.1,108,2.2,68.9
48,Wyoming,67.6,105,2.3,65.3
