# Title: August 2025 Contiguous U.S. Statewide Average Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 131 Years
ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,Alabama,78.3,26,-1,79.3
2,Arizona,82.4,130,4.6,77.8
3,Arkansas,79.3,64,-0,79.3
4,California,77.2,126,3.5,73.7
5,Colorado,67.5,115,2.3,65.2
6,Connecticut,68.6,52,-0,68.6
7,Delaware,71.8,12,-1.9,73.7
8,Florida,83,123,1.9,81.1
9,Georgia,78,24,-1,79
10,Idaho,66.5,112,2.9,63.6
11,Illinois,73,52,-0.4,73.4
12,Indiana,71.4,37,-0.9,72.3
13,Iowa,70.6,44,-0.8,71.4
14,Kansas,76,42,-1.3,77.3
15,Kentucky,74.2,43,-0.6,74.8
16,Louisiana,82.4,93,0.8,81.6
17,Maine,64.9,96,1.9,63
18,Maryland,71.6,21,-1.6,73.2
19,Massachusetts,67.4,52,-0.1,67.5
20,Michigan,66.9,83,1,65.9
21,Minnesota,67.1,83,0.8,66.3
22,Mississippi,80.5,79,0.3,80.2
23,Missouri,75,43,-1,76
24,Montana,66.2,103,2.1,64.1
25,Nebraska,72.6,71,0.3,72.3
26,Nevada,72.9,117,2.8,70.1
27,New Hampshire,65.4,86,1.3,64.1
28,New Jersey,70.8,37,-0.8,71.6
29,New Mexico,74.4,126,3.5,70.9
30,New York,66,64,-0,66
31,North Carolina,73.7,10,-1.9,75.6
32,North Dakota,67.6,73,0.7,66.9
33,Ohio,70.5,49,-0.4,70.9
34,Oklahoma,79.8,46,-1.1,80.9
35,Oregon,68.2,127,4.3,63.9
36,Pennsylvania,67.4,34,-1,68.4
37,Rhode Island,68.5,45,-0.2,68.7
38,South Carolina,76.8,7,-1.9,78.7
39,South Dakota,71,77,0.5,70.5
40,Tennessee,75.6,52,-0.4,76
41,Texas,83.3,105,1.4,81.9
42,Utah,72.6,123,3.2,69.4
43,Vermont,64.4,82,1,63.4
44,Virginia,71.4,11,-1.7,73.1
45,Washington,68.1,128,4.6,63.5
46,West Virginia,70.3,61,-0.1,70.4
47,Wisconsin,66.6,59,0.2,66.4
48,Wyoming,65.6,108,2.2,63.4
