# Title: October 2025 Contiguous U.S. Statewide Average Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 131 Years
ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,Alabama,65.8,96,1.9,63.9
2,Arizona,64.1,112,3.1,61
3,Arkansas,65.3,116,3.5,61.8
4,California,60.1,74,0.6,59.5
5,Colorado,49.6,121,3.1,46.5
6,Connecticut,53.3,101,2.3,51
7,Delaware,57.8,86,1.4,56.4
8,Florida,73.8,93,1.5,72.3
9,Georgia,64.9,78,0.7,64.2
10,Idaho,44,59,-0.1,44.1
11,Illinois,59.6,123,5,54.6
12,Indiana,57.4,112,3.5,53.9
13,Iowa,56.9,126,5.5,51.4
14,Kansas,61.5,125,5,56.5
15,Kentucky,59.3,102,2.3,57
16,Louisiana,71,121,3.6,67.4
17,Maine,48.4,119,4.1,44.3
18,Maryland,56.9,79,1.1,55.8
19,Massachusetts,52.4,106,2.4,50
20,Michigan,51.8,120,4.3,47.5
21,Minnesota,51.2,125,6.2,45
22,Mississippi,67.9,116,3.5,64.4
23,Missouri,61.8,123,4.8,57
24,Montana,44.4,77,1.2,43.2
25,Nebraska,55.4,124,4.6,50.8
26,Nevada,51.5,74,0.8,50.7
27,New Hampshire,49.1,115,3.3,45.8
28,New Jersey,56.1,97,2.1,54
29,New Mexico,58.6,127,4.5,54.1
30,New York,49.9,92,1.9,48
31,North Carolina,59.4,58,-0.2,59.6
32,North Dakota,48.9,123,4.9,44
33,Ohio,55.3,102,2.5,52.8
34,Oklahoma,66.5,126,4.9,61.6
35,Oregon,47.2,47,-0.9,48.1
36,Pennsylvania,51.8,79,1.2,50.6
37,Rhode Island,54.4,105,2.5,51.9
38,South Carolina,62.9,55,-0.3,63.2
39,South Dakota,52.3,122,4.5,47.8
40,Tennessee,61.2,105,2.4,58.8
41,Texas,71.6,129,5.5,66.1
42,Utah,50.9,102,2,48.9
43,Vermont,48.2,113,3,45.2
44,Virginia,56.7,69,0.5,56.2
45,Washington,46.8,58,-0.4,47.2
46,West Virginia,54.3,77,1,53.3
47,Wisconsin,51.6,118,4.8,46.8
48,Wyoming,44.6,97,2.1,42.5
